COMPANY,FSC_CODE,COUNTRY,CONTINENT,ADDRESS,CONT_PER,TELEPHONE,FAX,EMAIL,WEBSITE,ISSUDATE,EXPDATE,PRODUCTS
Rhy-Holz AG,SGS-COC-0637,Switzerland,Europe,"Belschenstrasse 6, CH-4310 Rheinfelden,",Siegfried Schnitzer,4161 831 7802,416183 17872,,14.03.01,13.03.06,Trading with certified deciduous roundwood,
"Plestscher & co AG,",SGS-COC-0636,Switzerland,Europe,"Oberwiesenweg 5, CH-8226, Schleitheim,",A. Guldimann,4152 6874 242,4152 6874 40,info@pletscherzaun.ch ,,14.03.01,13.03.06,"Manufacture and distribution of poles, posts, roundwood and fencing material from certified spruce, fir, larch and oak wood, and trading with certified wood products for garden purposes"
Metanoia Marketing,SGS-COC-0612,Switzerland,Europe,"Dorfstrasse 2, Im Kreuz, DH-8712 Stafa",Josef Junz,4119 262121,4119 261082,metanoia@goldnet.ch ,,24.01.01,23.01.06,"trding with wooden plates, garden and other furniture made from various certified species"
Baer Rahmen AG,IMO-COC-21042,Switzerland,Europe,"Bliggenswilerstr. 4, CH-8494 Bauma",Mr. Harry Bachmann,41-52-386 34 44,41-52-386 20 50,einkauf@baerrahmen.ch ,www.baerrahmen.ch,02.04.01,31.12.04,wooden frames for pictures and mirrors
Wellis AG,SGS-COC-0798,Switzerland,Europe,Ettiswilerstrasse 24CH-6130 Willisau,Mr Jörg Meerholz,+41 41 972 57 25,+41 41 972 57 05,j.meerholz@wellisag.ch ,,20.09.01,20.09.06,Manufacture of furniture from particle boards with a certified content of at least 30%
Sommer Holzwerkstatt,SGS-COC-0863,Switzerland,Europe,Hauptikerstrasse 15CH-8911 Rifferswil,Mr Daniel Sommer,+41 1 764 17 77,+41 1 761 90 24,info@sommerholz.ch ,,07.12.01,06.12.06,"Manufacture of furniture and kitchens, execution of interior design and laying of flooring from certified solid wood"
A. Steiner & Cie AG,SGS-COC-0737,Switzerland,Europe,"Sagewerk Riedbrugg, CH-6218 Ettiswil",Mr. Urs Steinger,+41 41 980 2277,+ 41 41 980 4405,,24.07.01,24.07.06,sawn and planed timber,
"Corbat Holding SA, Vendlincourt – Multi Site Certification",SGS-COC-1715,Switzerland,Europe,Route de Bonfol CH-2943 Vendlincourt,M. Patrick Corbat,+41 32 474 04 04,+41 32 474 04 00,info&corbat-holding.ch ,www.corbat-holding.ch,05.05.04,04.05.09,"Soft- and hardwood. Beams, sawn and planed products, parquet floors, installations and small wood constructions"
Ringier Print Zofingen AG,SQS-COC-24060,Switzerland,Europe,Brühlstrasse 5 CH-4800 Zofingen,Mr Urs KNUCHEL,+41 62 746 35 66,+41 62 746 30 43,urs.knuchel@ringier.ch ,,02.04.04,01.04.06,
Gerber Holz AG,SGS-COC-1755,Switzerland,Europe,"Mösli, CH-6196 Marbach/LU",Mr. Ruedi Gerber,+41 34 493 39 24/ 079 541 16 80,41 34 493 30 50/,info@gerber holz.ch ,www.gerberholz.ch,07.06.04,06.06.09,"Sawn wood, plane merchandise, glued massive wood and solid edge glued panels, finger-jointed beams and squares form softwood."
Hutter&Stoffel,IMO-COC-23086,Switzerland,Europe,Gewerbestr. 1 CH-9444 Diepoldsau,Mr. René Affentranger,-7379120,-7379110,info@collection-hutter.ch ,www.collection-hutter.ch,14.06.04,31.12.04,furniture
Roland Martin,SCS-COC-00627,Switzerland,Europe,Fensterkanteln Bahnhofstraße 10 CH-8832 Wollerau,Roland Martin,-7385061,-7385070,office@martin-fensterkanteln.ch ,www.martin-fensterkanteln.ch,13.06.04,12.06.09,
Schär Holz AG Sägerei,SCS-COC-00628,Switzerland,Europe,Schär Holz AG Sägerei Sägerei und Holzhandel CH-3418 Rüegsbach,Christian Schär jr.,0041 34-461-1295,0041 34-461-1295,,07.06.04,06.06.09,,
Ziegler Papier AG,SQS-COC-24310,Switzerland,Europe,Bahnhofstrasse 21 CH-4203 Grellingen,Mr Urs ZIEGLER,+41 61 745 12 06,+41 61 745 12 66,urs.ziegler@zieglerpapier.com ,,10.06.04,09.06.09,
Franz und Kurt Trauffer Holzspielwaren,SQS-COC-24024,Switzerland,Europe,Kritz CH-3858 Hofstetten b. Brienz ,Mr. Kurt Trauffer,+41 33 951 12 26,+41 33 951 34 26,f.k.trauffer@bluewin.ch ,,03.06.04,02.06.09,
Bläuer Möbelfabrik AG,SQS-COC-23995,Switzerland,Europe,Syrengasse 23 CH-3507 Biglen ,Mr. Kurt Bläuer jun.,+41 31 705 11 11,blauer@bluewin.ch ,,03.06.04,02.06.09,"FSC-zertifizierte Spanplatten aus Fi, Ta, Bu, Ah",
BL Blockfabrik AG,SGS-COC-1750,Switzerland,Europe,Industriestrasse 14 CH-9630 Wattwil Switzerland,Mr Peter Beerli,+41 71 987 41 15,+41 71 988 48 74,peter.beerli@blockfabrik.ch ,www.blockfabrik.ch,03.06.04,02.06.09,Stationery and various printing products
CINTRAG,IMO-COC-24148,Switzerland,Europe,"Seestrasse 1001, CH, 8706 Meilen","Mr Beat Fischer,",+41-43-923 59 89,41-43-923 35 00,cintrag@bluewin.ch ,,05.08.04,31.12.05,"Wooden boxes, shelves with modules, working stage, hangers, wooden pepper mills"
"OUTDOORCHEF International AG, trading as OUTDOORCHEF Switzerland AG, Ebikon",SGS-COC-1716,Switzerland,Europe,Neuhaltenring 1 CH-6030 Ebikon,Mrs. Ornella Muriniti,+41 41 444.33.31,+41 41 440.84.88,ornella.muriniti@OUTDOORCHEF.ch ,,05.05.04,04.05.09,Outdoor-barbecues and grill-accessories
Türenfabrik Brunegg AG,IMO-COC-24147,Switzerland,Europe,"Kirchstr. 3, CH, 5505 Brunegg",Mr M. Eisele,-8873071,-8873081,eisele@brunex.ch ,www. brunex.ch,31.08.04,31.12.05,wooden doors
"Industrie Bois Suisse, Section Romandie (Group Certification)",SGS-COC-1714,Switzerland,Europe,Route de Vevey 130 CH-1630 Bulle,M. Stefan Brülhart,+41 31 350 89 89 88 (fax),s.brulhart@despond.ch ,,05.05.04,04.05.09,Sawn timber and planed timber from all timber species,
Meister Holz,SGS-COC-1713,Switzerland,Europe,Dubachstr. 12 CH-8232 Merishausen,Mr. Walter Meister,41 52 653 15 05,41 52 653 15 92,,05.05.04,04.05.09,"Firewood from beech and birch, kindling from pine wood",
Alpin Massivholz AG,SGS-COC-1712,Switzerland,Europe,Grosszelgstrasse 24 CH-5436 Würenlos,Mr. M. Saurer,+41 (0)56 424 24 14,+41 (0)56 424 24 28,,05.05.04,04.05.09,"Glattkant-Latten, Schnittholz für den Garten, Systemfussböden, Massivholzplatten und Konstruktionsvollholz aus Nadelholz System battens, sawn timber, garden components, system flooring, solid edge glued panels, finger-jointed beams and squares from softwoods",
Neuhaus Bois,SGS-COC-1704,Switzerland,Europe,"Jean-Luc Neuhaus, commerce de bois, CH-1147 Montricher",M Jean-Luc Neuhaus,0041 (0)21 864 50 71,0041 (0)21 864 50 58,jean-luc.neuhaus@bluewin.ch ,,20.04.04,19.04.09,"Round wood crane length, steres, wood roughed-hew shredded woods, bulk, bags, big bags, bundles."
M-real Biberist,IMO-COC-24071,Switzerland,Europe,Fabrikstr. 4 4562 Biberist,Mr Oliver Schmidt,-7184,oliver.schmidt@m-real.com ,www.biberist.com,20.04.04,31.12.05,paper,
Odermatt Leistenfabrik,SCS-COC-00570,Switzerland,Europe,6373 Ennetburgen,Urs Odermatt,40.99999339,40.99999339,info@odermatt.ch ,,19.12.03,19.12.08,"Manufacturer and distributor of mouldings, handrails and other parts of staircases, planks, window frames and jamb casings"
BEWO,SQS-COC-24096,Switzerland,Europe,Emmentalstrasse 41 CH-3414 Oberburg,Mr Ruedy MINDER,+41 34 426 12 12,+41 34 426 12 22,info@bewo.ch ,,15.04.04,14.04.09,"animal supplies, wine cases, feeding stations for birds, building supplies, wood packing"
Renggli AG,SQS-COC-23902,Switzerland,Europe,St. Georgstrasse 2 CH-6210 Sursee,Mr René MAURER,+41 62 748 22 78,+41 62 748 22 23,rene.maurer@renggli-haus.ch ,,13.04.04,12.04.09,"home, building woodhome, timberhome prefabricated timberbuilding"
Heimstätten Will,SQS-COC-24057,Switzerland,Europe,Zürcherstrasse 30 CH-9501 Will,Mr Paul SCHMID,+41 71 913 18 03,+41 71 913 11 55,info@heimstaetten-will.ch ,,02.04.04,01.04.09,"1. For outdoors and gardens (feeding stations for birds, insexts, etc.) 2. Design for presents and articles for decoration 3. Articles for mromotion 4. Contracts work on commission"
Caran d'Ache Suisse,SQS-COC-22674,Switzerland,Europe,"19, Chemin du Foron Case postale 332 CH-1226 Thônex",Mr Philippe JACQUEMET,+41 22 869 02 98,+41 22 869 01 34,philippe.jacquemet@carandache.ch ,www.carandache.ch,30.04.04,29.04.09,Wood pencils
NZZ Fretz AG,SQS-COC-100022,Switzerland,Europe,Zürcherstrasse 39 CH-8952 Schlieren,Mr Alex Zahner,+41 71 272 73 18,+41 71 272 75 61,azahner@zollikofer.ch ,www.fretz.ch,22.09.04,21.09.07,"finance publications, advertising leaflets"
Holzwerkstoffe Gfeller AG,SQS-COC-100031,Switzerland,Europe,Riedlöserstrasse CH-7302 Landquart,Mr. Erwin Lötscher,+41 81 300 66 11,+41 81 300 66 01,erwin.loetscher@hws-gfeller.ch ,www.hws-gfeller.ch,12.10.04,11.10.09,
Schlumpf AG,SQS-COC-100032,Switzerland,Europe,Volketswilerstrasse CH-8606 Nänikon,Mr. Peter Schlumpf,+41 1 941 11 40,+41 1 941 31 69,peter.schlumpf@schlumpf-naenikon.ch ,www.schlumpf-naenikon.ch,12.10.04,11.10.09,"Spanplatten, Faserplatten, Massivholzplatten, Sperrholz, Fertigparkett, Hobelwaren, Türen"
Seetal Schaller AG,SQS-COC-21855,Switzerland,Europe,Wildischachen CH-5200 Brugg,Mr. Daniel N. Zuber,41 56 462 8000,41 56 462 8080,d.zuber@seetalschaller.ch ,www.seetalschaller.ch,18.03.03,17.03.08,"envelopes, office stationery products, paper products, direct advertising product"
Pavatex Fribourg SA,SQS-COC-21707,Switzerland,Europe,Route de la Pisciculture 37 CH-1700 Fribourg,Mr. Gion Toni Locher,+41 26 426 32 40,+41 26 426 32 09,locher.gion@hiag.com ,,04.05.04,03.05.09,Hard and soft fibreboard
Heinrich Benz AG,SQS-COC-100033,Switzerland,Europe,Kaiserstuhlstrasse 52 CH-8187 Weiach,Mr. Hans-Joerg Meier,+41 1 858 11 77,+41 1 858 02 33,mail@holz-benz.ch ,,12.10.04,11.10.09,"Sawn timber, lumber"
WERTDRUCKZENTRUM,IMO-COC-24167,Switzerland,Europe,"Neuhofstr. 12, CH-8503 Frauenfeld","Georg Mayer,",T: 052-723 66 55,F: 052-723 66 59,,05.10.04,31.12.05,postal cards,
"Hans Denzler & Co. AG (Neoperl), Reinach/BL",SGS-COC-1858,Switzerland,Europe,Pfeffingerstr. 21 CH-4153 Reinach,Mrs. Tanja Gerwer,+41 (0)61 716 74 11,+41 (0)61 716 74 59,tanja.gerwer@neoperl.ch ,,08.10.04,07.10.04,"Trading and distribution of bathroom-furniture, toilet-seats and bathroom-accessoires with certified massive wood and chipboards or MDF-boards containing at least 30% FSC certified wood. Handel und Vertrieb von Badezimmer-Möbeln, WC-Sitzen und Badezimmer-Accessoires mit zertifiziertem Massivholz, bzw. Spanplatten und MDF-Platten mit mindestens 30% zertifiziertem Holz"
Company Daniel Flühler and Timber Innovation GmbH,SGS-COC-1842,Switzerland,Europe,Brünigstr. 64 CH-6074 Giswil,Daniel Flühler,+41 (0)41 676 05 45,+41 (0)41 676 05 46,,23.09.04,23.09.09,Conifer saw logs,
"Royal AG, Abteilung Gerwania, Hünenberg",SGS-COC-1840,Switzerland,Europe,Bösch 65 CH-6331 Hünenberg,Peter Schmider,+41 041 780.72.22,+41 041 780 72 25,gerwania@bluewin.ch ,,25.08.04,25.08.09,Trading and distribution of in – and outdoor craftwork and hobby articles derived from certified wood. Handel und Vertrieb von In- und Outdoor-Möbeln (Gartenmöbel) und Holzkohle-Produkten aus zertifiziertem Holz.
Nef Holzwaren AG,SQS-COC-100003,Switzerland,Europe,Im Holderbaum 1 CH-8494 Bauma,Mr Walter NEF,+41 52 386 10 45,+41 52 386 34 63,nefholzwaren@swissonline.ch ,www.nefholzwaren.ch,02.08.04,01.08.09,"wood products for industrie, business, home and hobby"
Zollikofer AG,SQS-COC-100021,Switzerland,Europe,Fürstenlandstrasse 122 CH-9001 St. Gallen,Mr Alex Zahner,+41 71 272 77 77,+41 71 272 74 72,azahner@zollikofer.ch ,www.zollikofer.ch,22.09.04,21.09.07,"magazines, advertising leaflets and catalogues, Eidenbenz calendar"
"Holzindustrie Schweiz, Sektion Zentrum",SGS-COC-1810,Switzerland,Europe,"Mottastrasse 9, CH-3000 Bern 6",Mr Markus Brunner,+41 31 350 89 89,+41 31 350 89 88,brunner@holz-bois.ch ,www.holz-bois.ch,29.07.04,28.07.04,Sawn timber and planed timber from all timber species
Braun AG,SQS-COC-100015,Switzerland,Europe,Mooswiesstrasse 16 CH-9201 Gossau SG,Mr Bruno Camichel,+41 71 388 71 65,+41 71 388 71 88,bruno.camichel@braungossau.ch ,,17.09.04,16.09.09,Holzwerkstoffe
Luchsinger Holz GmbH,SQS-COC-100014,Switzerland,Europe,Geisrüti CH-8756 Mitlödi,Ms Elisabeth Luchsinger,+41 55 644 20 15,+41 55 644 20 26,ue.luchsinger@freesurf.ch ,,17.09.04,16.09.09,
Ringier Print Adligenswil AG,SQS-COC-100018,Switzerland,Europe,Stuben CH-6043 Adligenswil,Mr Max Strickler,+41 41 375 15 15,+41 41 375 16 68,max.strickler@ringier.ch ,www.ringierprint.ch,17.09.04,16.09.09,Zeitungsdruck-Produkte
Holzplatten AG,SQS-COC-100016,Switzerland,Europe,Weberrütistrasse 10 CH-8833 Samstagern,Mr Malcolm Smart,+41 1 768 90 40,+41 1 786 90 41,smart@holzplatten.ch ,www.holzplatten.ch,17.09.04,16.09.09,
FSZ Furnierwerke AG,SQS-COC-100009,Switzerland,Europe,Guschastrasse 87 CH-9475 Sevelen,Mr Alexander Rohrer,+41 81 750 15 51,+41 81 785 35 41,info@furniere-holz.com ,,14.09.04,13.09.09,"Round wood, timber, veneer, panels"
Bollinger Furniere AG,SQS-COC-100007,Switzerland,Europe,Alte Winterthurerstrasse 9 CH-8309 Nürensdorf,Mr. Marcel ZOSSO,+41 1 836 63 80,+41 1 836 45 11,mail@bollinger.ch ,www.bollinger.ch,07.09.04,06.09.09,Veneers - Lumber - Woodenproducts - Edgeband
Herzog-Elmiger AG Holzwerkstoffe,SQS-COC-100008,Switzerland,Europe,Langsägestrasse 11 CH-6010 Kriens,Mr. Marcel ZOSSO,+41 41 317 50 50,+41 41 317 50 99,mail@herzog-elmiger.ch ,www.herzog-elmiger.ch,07.09.04,06.09.09,"wooden articles (plywood, panels, chipboard, MDF, OSB, doors, solid wood, veneer, lumber, floor covering, parquet flooring)"
"VSSM (Swiss Joinery and Furniture Manufacturers Association), Group Woodcraft",SGS-COC-1833,Switzerland,Europe,Gladbachstr. 80 CH-8044 Zürich,Herr Werner Oetiker,+41 01 267 81 30,+41 01 267 81 54,werner.oetiker@vssm.ch ,,02.09.04,01.09.09,Joinery products and wooden products
Reinhardt Holz AG,SGS-COC-1816,Switzerland,Europe,CH-3762 Erlenbach i.S.,Mister Thomas Läderach,+41 33 681 11 45,+41 33 681 19 64,info@reinhardtholz.ch ,www.reinhardtholz.ch,12.08.04,11.08.09,Softwood
Holz Stürm AG,SQS-COC-100020,Switzerland,Europe,Bleicheweg 7 CH-9403 Goldach,Mr Bruno Seiler,+41 71 844 99 11,+41 71 844 99 10,seiler@holzstuerm.ch ,www.holzstuerm.ch,23.09.04,22.09.09,"Planed timber, sawn timber, laminated timber, boards"
Stiftung Weizenkorn,SGS-COC-1360,Switzerland,Europe,Oetlingerstrasse 81 CH-4057 Basel,Mr Adrian Dellenbach,41 61 686 91 31,41 61 686 91 30,adrian.dellenbach@weizenkorn.ch ,www.weizenkorn.ch,11.04.03,11.04.08,"Wooden articles, toys and small furniture"
Baumer AG,SQS-COC-22369,Switzerland,Europe,Laubgasse 31 CH-8500 Frauenfeld,Mr. Daniel Jud,+41 52 723 42 42,+41 52 723 42 90,info@baumer.ch ,,03.09.03,02.09.08,"various direct mail, forms systems, cards and identification systems"
Cartonal AG,SQS-COC-22272,Switzerland,Europe,Rugghölzli 2 / Busslingen CH-5453 Remetschwil,Mr. Andrè KELLER,+41 56 485 60 60,+41 56 485 60 69,"andre.keller@cartonal.ch 	www.cartonal.ch	30.07.03	29.07.08	paper and board",,,,
Antalis AG,SQS-COC-22253,Switzerland,Europe,Industriestrasse 20 CH-5242 Lupfig,Mr. Tashi Neyang,+41 56 464 51 11,+41 56 464 53 11,tashi.neyang@antalis.ch ,,17.07.03,16.07.08,Paper & Cardboards
Christian Götschmann,SQS-COC-22223,Switzerland,Europe,Nutziweg 1 CH-4802 Strengelbach,Mr. Ch. Götschmann,+41 62 751 48 31,+41 62 751 58 03,schreinerei-goetschmann@pop.agri.ch ,,09.07.03,08.07.08,Door frame and general joiner work
Regiholz GmbH (private limited company),SGS-COC-1408,Switzerland,Europe,Chindismüli CH-8626 Ottikon,Kurt Gujer,+41 (0) 1 975 19 39,+41 (0) 1 975 19 38,regiholz@bluewin.ch ,,02.06.03,01.07.08,
Sihl + Eika Papier AG,SQS-COC-22084,Switzerland,Europe,Zürcherstrasse 68 CH-8800 Thalwil,Mr. Stefan BAUMGARTNER,+41 1 723 63 12,+41 1 723 65 42,stefan.baumgartner@sihl-eika.ch ,,23.06.03,22.03.08,Paper products
Holz Zollhaus AG,SQS-COC-00193,Switzerland,Europe,CH-1716 Schwarzsee,Mr. Werner WYSS,+41 26 419 82 82,+41 26 419 82 92,info@holzzollhaus.ch ,,02.06.03,01.06.08,various
Association of Vaud and Bas-Valais Forest Owners,SGS-COC-1329,Switzerland,Europe,"Rue de la Chocolatière 26, CH-1026 Echandens VD",Jean-Charles Daehler,41 21 706 50 20,41 21 706 50 29,jcdaehler@afv-bv.ch ,,12.03.03,12.03.08,"The purchase at roadside of round timber, hardwood and softwood, belonging to members of the FM group certification scheme and sale to sawmill, mill or trade"
Camping Gaz (Suisse) SA,SGS-COC-1487,Switzerland,Europe,Route du Bleuet 7 CH – 1762 Givisiez,"Mr Pius Dietriech,",41 26 460 40 40,41 26 460 40 50,,02.09.03,01.09.08,"Wooden sledges, Model Davos Luges en bois, modèle Davos",
Scierie de Cornaux (Sawmill of Cornaux),SGS-COC-1352,Switzerland,Europe,Scierie de Cornaux Sarl CH-2087 Cornaux,Daniel Schlaepfer,41 32 757 73 71,41 32 757 15 71,,04.04.03,04.04.08,"Hardwood and softwood structural timbers, boards, sawing planes etc.",
"Triva Holz+Textil, Holzwerkstatt",IMO-COC-23006,Switzerland,Europe,Wasserwerkgasse 24 3011 Bern,Mr Urs Frey,-3117040,-3117059,triva@contact-bern.ch ,,28.04.03,31.12.04,chairs
Troger Ernst & Söhne AG,SQS-COC-100024,Switzerland,Europe,Kantonsstrasse CH-3942 Raron,Herr Emanuel Troger,+41 27 935 88 31,+41 27 935 88 38,trogerag@bluewin.ch ,,23.10.04,22.10.09,Allgemeine Schreinerei- und Zimmereiprodukte
Holzwerkstoffe Frauenfeld AG,SQS-COC-100027,Switzerland,Europe,Zürcherstrasse 335 CH-8500 Frauenfeld,Herr Martin Oertli,+41 52 723 40 25,+41 52 723 40 33,martin.oertli@hws-frauenfeld.ch ,www.hws-frauenfeld.ch,05.10.04,04.10.09,Holzwerkstoffe
Holzwerkstoffe Reiden AG,SQS-COC-100000,Switzerland,Europe,Industriestrasse CH-6260 Reiden,Herr Rolf Frei,+41 62 749 22 49,+41 62 749 22 51,rolf.frei@hws-reiden.ch ,www.hws-reiden.ch,05.10.04,04.10.09,Holzwerkstoffe
Zürcher Druck + Verlag AG,SQS-COC-24176,Switzerland,Europe,Riedstrasse 1 CH-6343 Rotkreuz,Mr René COLLAUD,+41 41 789 31 60,+41 41 789 31 58,coe@ringier.com ,,14.05.04,13.04.09,"graphics, brochures, job printing, business publications"
Stämpfli AG,SQS-COC-23903,Switzerland,Europe,Wölflistrasse 1 CH-3001 Bern,Mr Richard ZBINDEN,+41 31 300 64 10,+41 31 300 66 99,richard.zbinden@staempfli.com ,www.staempfli.com,26.04.04,25.04.07,"Zellulose aus Papierholz: Fi, Ta, Bu"
Despond S.A,SQS-COC-21323,Switzerland,Europe,Rue de Vevey 130 CH-1630 Bulle,Mr. Stefan Bruelhart,+41 (26) 919 82 82,+41 (26) 912 13 39,deponds.bois@mcnet.ch ,,03.03.03,02.03.08,"Sawn timber, laths, planed timber, strips of 100 % FSC certified timber"
Verein für bessere Chancen im Beruf,SQS-COC-24056,Switzerland,Europe,Hausmatt 1 CH-6423 Seewen,Mr Toni TSCHÜMPERLIN,+41 41 813 11 04,+41 41 813 11 01,toni.tschuemperlin@vfam.ch ,,30.03.04,29.03.09,"Holzwaren für Lagerung und Aussenbereich (Harasse, Regale, Festzeltgarnituren)"
J. Schumacher AG,SQS-COC-21866,Switzerland,Europe,Aeulistrasse CH-7323 Wangs,Mr. Johann Schumacher,41 81 720 4400,41 81 720 4401,info@schag.ch ,www.schag.ch,14.04.03,13.04.08,"manufacture of furniture, kitchens and interior fixtures"
Benteli Hallwag Druck AG,SQS-COC-100002,Switzerland,Europe,Seftigenstrasse 310 CH-3084 Wabern,Mr Peter LUETHI,+41 31 960 83 57,+41 31 960 84 31,peter.luethi@bentelihallwag.ch ,www.bentelihallwag.ch,03.08.04,02.08.09,Printproducts
Reinhard AG Sachseln,SGS-COC-1403,Switzerland,Europe,Allmendstr. 1 CH-6072 Sachseln,Mr. Hans-Melk Reinhard,41 41 666 26 66,41 41 666 26 96,,22.05.03,21.05.08,Predominantly chip board from indigenous broadleaf and conifer species,
Biber Papier Inapa Schweiz AG,SQS-COC-23900,Switzerland,Europe,Althardstrasse 301 CH-8105 Regensdorf,Markus KOHLER,+41 1 843 18 18,+41 1 843 18 99,markus.kohler@biber.ch ,,17.02.04,16.02.09,Paper and cardboards
Forstina AG,SQS-COC-23989,Switzerland,Europe,Oberdorfstrasse 8 CH-5502 Hunzenschwil,Mr. Beat BAUMANN,+41 62 897 19 29,+41 62 897 15 29,beat.baumann@pop.agri.ch ,,11.03.04,10.03.09,Rundholz
Holzindustrie Schweiz Sektion Nordwest,SGS-COC-1390,Switzerland,Europe,Unterdorfstrasse 52 CH-5612 Villmergen,Mr Gottfried Stähli,41 56 622 24 35,41 56 621 81 65,staehli-holz@bluewin.ch ,,02.05.03,01.05.08,Sawn timber and planed timber from all timber species
OLWO Otto Lädrach AG,SQS-COC-22522,Switzerland,Europe,Bollstrasse 71 CH-3076 Worb,Walter König,+41 31 838 44 44,+41 31 838 44 42,w.koenig@olwo.ch ,,18.02.04,17.02.09,"Sägewerk, Hobelwerk, Handel mit Massivholz, Bau- und Holzwerkstoffen"
"Heinzle & Meier AG, Dübendorf",SGS-COC-1489,Switzerland,Europe,Schossacher 19 CH-8600 Dübendorf,Mr. Stefan Heinzle,+41 1 801.90.30,41 1 801.90.31,mail@h-m.ch ,,02.09.03,01.09.08,Trading and distribution of in – and outdoor furniture and charcoal products derived from certified wood. Handel und Vertrieb von In- und Outdoor-Möbeln (Gartenmöbel) und Holzkohle-Produkten aus zertifiziertem Holz.
Beat Riget GmbH,SGS-COC-1612,Switzerland,Europe,Försterhaus CH-8314 Kyburg,Herrn Beat Riget,+41 52 233.48.55,+41 52 233.48.85,r.beat@freesurf.ch ,,14.01.04,13.01.09,Handel mit Rundholz Trading of roundwood
"Edi Baur, Bürstenfabrik,",IMO-COC-23322,Switzerland,Europe,"22, CH, 8320 Fehraltdorf,","Mr A. Dütsch, Undermülistr.","41-1-9543222,","41-1-9543485,",info@buersten-baur.com ,www.buersten-baur.com,08.12.03,31.12.04,wooden brushes
Bau & Möbelmüller AG,IMO-COC-23218,Switzerland,Europe,"Uitikonerstrasse 29, CH, 8952 Schlieren",Mr Dani Binz,41-1-730-8662,41-1-730-7335,dani.binz@bluewin.ch ,,28.08.03,31.12.04,all types of furniture
Neogard AG,SQS-COC-22629,Switzerland,Europe,Oberkulmerstrasse CH-5728 Gontenschwil,Mr. Richard MERZ,+41 (62) 767 00 50,+41 (62) 767 00 67,info@neogard.ch ,,08.12.03,07.12.08,
Egger AG,SQS-COC-22290,Switzerland,Europe,Lindenmattstrasse 7 CH-3714 Frutigen,Mr. Bernhard EGGER,+41 (33) 672 11 11,+41 (33) 672 11 22,b.egger@egger-ag.ch ,www.egger-ag.ch,29.12.03,28.12.07,"Commercial offset printing on certified FSC-papers. Printed material: such as books, brochures, folders, leaflets, posters, periodicals, annual reports, advertising printing. Graphics, typesetting, scans, lettershop, packaging."
Media-Center Uster AG,SQS-COC-22557,Switzerland,Europe,Neugrütstrasse 2 CH-8610 Uster,Mr. Frank SHARMA,+41 (43) 399 00 00,+41 (43) 399 11 12,info@nsprint.ch ,,18.11.03,17.11.08,not available
Drechslerverband Schweiz,SQS-COC-22541,Switzerland,Europe,Wangenstrasse 8 CH-3360 Herzogenbuchsee,Mr. Alex Meier (Drechslerei Stich AG),+41 (61)771 06 02,+41 (61)771 06 45,a.meier@drechslerei-stich.ch ,,29.12.03,28.12.08,Allgemeine Drechslerarbeiten + Holzwaren
Maron AG,SQS-COC-22699,Switzerland,Europe,Reckholdernstrasse 8 CH-8590 Romanshorn,Mr. Manfred HIRSCHLE,+41 (71) 466 90 40,+41 (71) 466 90 50,manfred.hirschle@maron-ag.ch ,,08.12.03,07.12.08,Innenbeschattungen aus Holz
Druckerei Feldegg AG,SQS-COC-22349,Switzerland,Europe,Forchstrasse 179 CH-8125 Zollikerberg,Mr. Erwin Oberhänsli,+41 1 396 65 65,+41 1 396 65 00,print@feldegg.ch ,,15.09.03,14.09.06,Print products of FSC certified wood
Schürch & CO AG,SGS-COC-1582,Switzerland,Europe,"Luzernstrasse 24, CH-4950 Huttwil",Mister Peter Schürch,+41 62 962 24 84,+41 62 962 24 86,info@schuerch-holz.ch ,www.schuerch-holz.ch,25.11.03,24.11.08,Hardwood and softwood
Holzwerk Rieder AG,SGS-COC-1573,Switzerland,Europe,"Moos, CH-3772 St. Stephan",Mister Gottfried Beetschen,+41 33 729 16 20,+41 33 729 16 26,hwr@hwr.ch ,www.hwr.ch,18.11.03,17.11.08,Hardwood and softwood
Fritz Brand AG,SGS-COC-1572,Switzerland,Europe,Bahnhofstrasse 6 CH-3436 Zollbrück,Herr Christian Brand,+41 31 350 89 89,+41 31 350 89 88,contact@brand-ag.ch ,www.brand-ag.ch,19.11.03,18.11.08,Softwood and hardwood
"Holzindustrie Schweiz, Sektion Bern",SGS-COC-1561,Switzerland,Europe,"Mottastrasse 9, PF 325, CH-3000 Bern 6",Mr Ueli Lädrach,+41 31 350 89 89 88,info@bernerholz.ch ,www.bernerholz.ch,13.11.03,12.11.08,Sawn timber and planed timber from all timber species,
Fritz Jäggi,SCS-COC-00586,Switzerland,Europe,Holz- und Furnierhandel Stockhornweg 11 3422 Kirchberg BE,Fritz Jäggi,00 41 (0) 34 44454238,00 41 (0) 34 4455240,frjaeggi@mysunrise.ch ,,10.10.03,09.10.08,Distributor of roundwood. Manufacturer of sawnwood and scantlings.
"Bauwerk Parkett AG, headquarters in St. Margrethen",SGS-COC-1535,Switzerland,Europe,CH-9430 St. Margrethen,Mr. A. Deiss,+41 71 747 74 74,+41 71 744 30 14,deiss.a@bauwerk-parkett.com ,,14.10.03,13.10.08,Predominantly boards from spruce/fir and broadleaf
